#The probability of characters appearance
#LV,cost,The probability of chara1,chara2,chara3,chara4,chara5,chara6,chara7,chara8,chara9,chara10,chara11,chara12,GetCoin of MoveChara1,GetCoin of MoveChara2
0,0,100,0,0,0,0,0,0,0,0,0,0,0,5,10,
1,100,90,10,0,0,0,0,0,0,0,0,0,0,500,1000,
2,2000,50,50,0,0,0,0,0,0,0,0,0,0,1000,2000,
3,30000,0,95,5,0,0,0,0,0,0,0,0,0,50000,100000,
4,500000,0,70,30,0,0,0,0,0,0,0,0,0,100000,200000,
5,9000000,0,56,40,4,0,0,0,0,0,0,0,0,5000000,10000000,
6,120000000,0,0,80,20,0,0,0,0,0,0,0,0,100000000,200000000,
7,2000000000,0,0,70,27,3,0,0,0,0,0,0,0,500000000,1000000000,
8,25000000000,0,0,30,60,10,0,0,0,0,0,0,0,1000000000,2000000000,
9,300000000000,0,0,0,48,50,2,0,0,0,0,0,0,50000000000,100000000000,
10,3500000000000,0,0,0,26,64,10,0,0,0,0,0,0,100000000000,200000000000,
11,40000000000000,0,0,0,0,60,38,2,0,0,0,0,0,5000000000000,10000000000000,
12,450000000000000,0,0,0,0,25,68,7,0,0,0,0,0,10000000000000,20000000000000,
13,7500000000000000,0,0,0,0,0,70,29,1,0,0,0,0,500000000000000,1000000000000000 ,
14,15000000000000000,0,0,0,0,0,24,59,17,0,0,0,0,1000000000000000,2000000000000000 ,
15,30000000000000000,0,0,0,0,0,0,80,19,1,0,0,0,50000000000000000,100000000000000000 ,
16,60000000000000000,0,0,0,0,0,0,23,67,10,0,0,0,100000000000000000,200000000000000000,
17,90000000000000000,0,0,0,0,0,0,0,85,14,1,0,0,150000000000000000,300000000000000000,
18,150000000000000000,0,0,0,0,0,0,0,22,69,9,0,0,200000000000000000,400000000000000000,
19,300000000000000000,0,0,0,0,0,0,0,0,90,9,1,0,200000000000000000,400000000000000000,
20,450000000000000000,0,0,0,0,0,0,0,0,21,70,9,0,250000000000000000,500000000000000000,
21,900000000000000000,0,0,0,0,0,0,0,0,0,95,4,1,250000000000000000,500000000000000000,
22,1500000000000000000,0,0,0,0,0,0,0,0,0,27,71,2,250000000000000000,500000000000000000,
