#The parameter of AutoClickCount
#LV,cost1,cost2,AutoClickCount  Cost = cost1 * cost2
0,0,0,0,
1,5,1,1,
1,5,1,1,
1,5,1,1,
1,5,1,1,
1,5,1,1,
1,10,1,1,
1,10,1,1,
1,10,1,1,
1,10,1,1,
1,10,1,1,
1,15,1,1,
1,15,1,1,
1,15,1,1,
1,15,1,1,
1,15,1,1,
1,20,1,1,
1,20,1,1,
1,20,1,1,
1,20,1,1,
1,20,1,1,
1,25,1,1,
1,25,1,1,
1,25,1,1,
1,25,1,1,
1,25,1,1,
1,30,1,1,
1,30,1,1,
1,30,1,1,
1,30,1,1,
1,30,1,1,
1,35,1,1,
1,35,1,1,
1,35,1,1,
1,35,1,1,
1,35,1,1,
1,40,1,1,
1,40,1,1,
1,40,1,1,
1,40,1,1,
1,40,1,1,
1,45,1,1,
1,45,1,1,
1,45,1,1,
1,45,1,1,
1,45,1,1,
1,50,1,1,
1,50,1,1,
1,50,1,1,
1,50,1,1,
1,50,1,1,
